txn_id,user_id,txn_date,txn_year,txn_month,txn_type,txn_amount,txn_status
1,1,2025-11-21,2025,11,UPI,3895.45,SUCCESS
2,1,2026-01-11,2026,1,UPI,943.74,SUCCESS
3,1,2025-12-25,2025,12,UPI,4883.68,SUCCESS
4,1,2025-10-10,2025,10,UPI,2896.4,FAILED
5,1,2026-01-18,2026,1,UPI,2257.46,SUCCESS
6,1,2026-01-29,2026,1,UPI,908.24,SUCCESS
7,1,2025-12-31,2025,12,CARD,404.11,SUCCESS
8,1,2025-12-31,2025,12,CARD,3810.01,SUCCESS
9,1,2026-01-13,2026,1,CARD,2647.46,SUCCESS
10,1,2025-12-23,2025,12,UPI,2496.66,SUCCESS
11,1,2025-11-24,2025,11,CARD,4278.66,FAILED
12,1,2025-11-03,2025,11,UPI,1577.78,SUCCESS
13,1,2025-10-12,2025,10,CARD,3466.42,SUCCESS
14,1,2025-11-17,2025,11,UPI,109.26,SUCCESS
15,1,2025-12-17,2025,12,UPI,3760.42,SUCCESS
16,1,2025-12-23,2025,12,CARD,3886.04,SUCCESS
17,1,2025-11-30,2025,11,UPI,1145.0,SUCCESS
18,2,2025-10-17,2025,10,UPI,3160.56,SUCCESS
19,2,2025-10-17,2025,10,CARD,4523.87,SUCCESS
20,2,2025-12-21,2025,12,UPI,4019.22,SUCCESS
21,2,2025-12-31,2025,12,CARD,4039.38,SUCCESS
22,2,2025-12-21,2025,12,CARD,1021.98,SUCCESS
23,2,2025-11-03,2025,11,CARD,706.63,SUCCESS
24,2,2025-10-27,2025,10,UPI,4275.54,FAILED
25,2,2025-11-05,2025,11,CARD,2617.26,SUCCESS
26,2,2025-11-13,2025,11,CARD,185.18,FAILED
27,2,2026-01-01,2026,1,UPI,295.33,FAILED
28,2,2025-11-02,2025,11,CARD,1309.98,SUCCESS
29,2,2025-10-03,2025,10,UPI,1305.12,SUCCESS
30,2,2026-01-21,2026,1,UPI,2591.61,SUCCESS
31,2,2025-11-09,2025,11,CARD,2238.75,SUCCESS
32,2,2026-01-09,2026,1,CARD,2477.4,SUCCESS
33,3,2025-11-30,2025,11,CARD,3630.51,SUCCESS
34,3,2026-01-23,2026,1,UPI,3950.61,FAILED
35,3,2025-10-02,2025,10,UPI,4033.87,SUCCESS
36,3,2025-10-02,2025,10,UPI,3628.69,SUCCESS
37,3,2025-11-28,2025,11,UPI,4327.64,SUCCESS
38,3,2025-12-15,2025,12,UPI,3612.21,SUCCESS
39,3,2025-11-11,2025,11,UPI,4508.15,SUCCESS
40,3,2025-11-06,2025,11,CARD,3377.37,SUCCESS
41,3,2025-10-03,2025,10,CARD,4487.8,FAILED
42,3,2026-01-20,2026,1,UPI,146.44,SUCCESS
43,3,2025-11-26,2025,11,UPI,2079.64,SUCCESS
44,3,2025-12-15,2025,12,CARD,3622.5,SUCCESS
45,3,2025-12-25,2025,12,CARD,2631.5,SUCCESS
46,3,2026-01-10,2026,1,CARD,900.43,SUCCESS
47,3,2025-12-20,2025,12,CARD,1843.59,SUCCESS
48,3,2025-11-19,2025,11,UPI,3253.39,SUCCESS
49,3,2025-12-31,2025,12,CARD,2317.45,FAILED
50,3,2025-12-29,2025,12,CARD,473.38,SUCCESS
