txn_id,user_id,txn_date,txn_year,txn_month,txn_type,txn_amount,revenue_percent,revenue
1,1,2025-11-21,2025,11,UPI,3895.45,0.005,19.477249999999998
2,1,2026-01-11,2026,1,UPI,943.74,0.005,4.7187
3,1,2025-12-25,2025,12,UPI,4883.68,0.005,24.418400000000002
4,1,2025-10-10,2025,10,UPI,2896.4,0.005,14.482000000000001
5,1,2026-01-18,2026,1,UPI,2257.46,0.005,11.2873
6,1,2026-01-29,2026,1,UPI,908.24,0.005,4.5412
7,1,2025-12-31,2025,12,CARD,404.11,0.012,4.8493200000000005
8,1,2025-12-31,2025,12,CARD,3810.01,0.012,45.72012
9,1,2026-01-13,2026,1,CARD,2647.46,0.012,31.76952
10,1,2025-12-23,2025,12,UPI,2496.66,0.005,12.4833
11,1,2025-11-24,2025,11,CARD,4278.66,0.012,51.34392
12,1,2025-11-03,2025,11,UPI,1577.78,0.005,7.8889000000000005
13,1,2025-10-12,2025,10,CARD,3466.42,0.012,41.59704
14,1,2025-11-17,2025,11,UPI,109.26,0.005,0.5463
15,1,2025-12-17,2025,12,UPI,3760.42,0.005,18.8021
16,1,2025-12-23,2025,12,CARD,3886.04,0.012,46.63248
17,1,2025-11-30,2025,11,UPI,1145.0,0.005,5.7250000000000005
18,2,2025-10-17,2025,10,UPI,3160.56,0.005,15.8028
19,2,2025-10-17,2025,10,CARD,4523.87,0.012,54.28644
20,2,2025-12-21,2025,12,UPI,4019.22,0.005,20.0961
21,2,2025-12-31,2025,12,CARD,4039.38,0.012,48.47256
22,2,2025-12-21,2025,12,CARD,1021.98,0.012,12.263760000000001
23,2,2025-11-03,2025,11,CARD,706.63,0.012,8.47956
24,2,2025-10-27,2025,10,UPI,4275.54,0.005,21.3777
25,2,2025-11-05,2025,11,CARD,2617.26,0.012,31.407120000000003
26,2,2025-11-13,2025,11,CARD,185.18,0.012,2.22216
27,2,2026-01-01,2026,1,UPI,295.33,0.005,1.47665
28,2,2025-11-02,2025,11,CARD,1309.98,0.012,15.71976
29,2,2025-10-03,2025,10,UPI,1305.12,0.005,6.5256
30,2,2026-01-21,2026,1,UPI,2591.61,0.005,12.95805
31,2,2025-11-09,2025,11,CARD,2238.75,0.012,26.865000000000002
32,2,2026-01-09,2026,1,CARD,2477.4,0.012,29.728800000000003
33,3,2025-11-30,2025,11,CARD,3630.51,0.012,43.566120000000005
34,3,2026-01-23,2026,1,UPI,3950.61,0.005,19.75305
35,3,2025-10-02,2025,10,UPI,4033.87,0.005,20.16935
36,3,2025-10-02,2025,10,UPI,3628.69,0.005,18.14345
37,3,2025-11-28,2025,11,UPI,4327.64,0.005,21.6382
38,3,2025-12-15,2025,12,UPI,3612.21,0.005,18.06105
39,3,2025-11-11,2025,11,UPI,4508.15,0.005,22.54075
